SampleID,Urocanic acid,Nicotine,Phenylalanine,D-TRYPTOPHAN,Glutamyltyrosine,C19H36O4 Fatty acid,C19H38O4 Fatty acid,C19H22O4 Linear diarylheptanoids,N-Oleoylethanolamine,Gln-C14:0,Sorbitane Monooleate,group
LAMI.RD001.D0.C1,39859.758,0.0,970487.5,567510.06,12406.826,611709.7,25936.023,0.0,16778.838,0.0,0.0,H
LAMI.RD306.D9.C2,0.0,178911.47,1071868.2,672054.4,20433.49,437938.2,23435.434,6174.29,12865.39,0.0,0.0,L
LAMI.RD308.D2.C2,3065.1714,0.0,750870.1,442653.66,5348.94,231525.84,0.0,21603.16,14299.352,0.0,0.0,L
LAMI.RD304.D11.C1,36750.4,0.0,595568.94,328151.12,9403.652,78491.53,1793.8712,15929.322,0.0,5375.8525,99470.69,L
LAMI.RD304.D11.C2,0.0,0.0,303845.3,152392.72,2286.2397,261996.8,8281.699,28877.004,15780.309,2691.0256,157503.92,L
LAMI.RD304.D0.C1,3345.8184,0.0,293386.34,137201.39,0.0,427202.06,23404.492,36777.832,3228.1143,3431.0034,0.0,L
LAMI.RD306.D11.C2,9085.737,15334.904,642067.25,415650.38,11457.029,259815.22,20705.502,9837.177,22948.746,14211.763,70900.836,L
LAMI.RD308.D4.C1,39814.594,0.0,1039256.4,575684.56,8807.634,120215.08,4843.1196,13792.006,18912.52,0.0,0.0,L
LAMI.RD304.D0.C2,24984.322,47884.31,1051277.4,459814.62,8828.06,223301.7,5269.177,38292.88,21331.514,13703.576,62253.426,L
LAMI.RD001.D14.C1,34747.92,12573.018,1496841.8,706262.44,43799.37,1140515.8,62719.805,14838.081,5087.427,0.0,0.0,H
LAMI.RD304.D0.C3,24323.4,0.0,1153248.6,648597.7,0.0,398712.66,19349.387,6938.003,27567.457,45543.51,0.0,NL
LAMI.RD001.D14.C2,0.0,0.0,1258087.6,717058.0,9307.765,263219.34,5418.5044,8860.73,44030.574,0.0,0.0,H
